name,root,iterations,time,absolute error,relative error
fixed_point,1.9999999972523346,46,1.9073486328125e-05,2.7476654285152335e-09,1.3738327142576168e-09
newton,2.0,4,1.5735626220703125e-05,0.0,0.0
secant,2.0000000000000377,4,1.52587890625e-05,3.774758283725532e-14,1.887379141862766e-14
brent,1.9759936617135723,27,8.0108642578125e-05,0.02400633828642773,0.012003169143213865
bisection,2.247767977358997,1,6.4373016357421875e-06,0.24776797735899692,0.12388398867949846
false_position,1.9999999991700426,11,1.6927719116210938e-05,8.299574361103623e-10,4.1497871805518116e-10
fixed_point,1.9999999971885272,45,1.2874603271484375e-05,2.8114728323203053e-09,1.4057364161601527e-09
newton,2.0000000001230998,3,8.58306884765625e-06,1.2309975261359796e-10,6.154987630679898e-11
secant,2.000000000004839,5,2.3603439331054688e-05,4.838796030526282e-12,2.419398015263141e-12
brent,2.0,21,5.5789947509765625e-05,0.0,0.0
bisection,2.550810682596993,1,2.5033950805664062e-05,0.550810682596993,0.2754053412984965
false_position,2.000000000864684,8,3.5762786865234375e-05,8.646838800530077e-10,4.3234194002650383e-10
fixed_point,2.0000000039392902,46,1.8596649169921875e-05,3.9392902273505115e-09,1.9696451136752557e-09
newton,2.000000000000001,4,3.695487976074219e-05,8.881784197001252e-16,4.440892098500626e-16
secant,2.000000000000173,5,1.8596649169921875e-05,1.7319479184152442e-13,8.659739592076221e-14
brent,2.4263972369233704,26,5.435943603515625e-05,0.4263972369233704,0.2131986184616852
bisection,1.9692603251210978,1,1.6927719116210938e-05,0.030739674878902168,0.015369837439451084
false_position,1.9999999992707567,8,1.5497207641601562e-05,7.292433323868863e-10,3.6462166619344316e-10
fixed_point,1.9999999972027764,40,1.239776611328125e-05,2.7972235638884513e-09,1.3986117819442256e-09
newton,2.0,3,8.344650268554688e-06,0.0,0.0
secant,2.0000000000002505,5,1.0251998901367188e-05,2.504663143554353e-13,1.2523315717771766e-13
brent,2.0,24,7.319450378417969e-05,0.0,0.0
bisection,1.4906040137096732,1,6.198883056640625e-06,0.5093959862903268,0.2546979931451634
false_position,1.9999999998363112,6,2.002716064453125e-05,1.636888402600789e-10,8.184442013003945e-11
fixed_point,2.0000000030021443,47,1.4543533325195312e-05,3.002144310926269e-09,1.5010721554631345e-09
newton,2.0000000000000027,4,1.2159347534179688e-05,2.6645352591003757e-15,1.3322676295501878e-15
secant,1.9999999999965237,5,1.239776611328125e-05,3.47633033470629e-12,1.738165167353145e-12
brent,1.4906040137096732,25,5.316734313964844e-05,0.5093959862903268,0.2546979931451634
bisection,1.9999999992106285,26,2.4557113647460938e-05,7.893714570883503e-10,3.9468572854417516e-10
false_position,1.9999999996751257,7,1.3589859008789062e-05,3.24874349644233e-10,1.624371748221165e-10
fixed_point,1.9999999966046937,41,1.6450881958007812e-05,3.3953062583691462e-09,1.6976531291845731e-09
newton,2.0000000000000027,3,1.0728836059570312e-05,2.6645352591003757e-15,1.3322676295501878e-15
secant,1.9999999998512101,4,1.0251998901367188e-05,1.4878986931421423e-10,7.439493465710711e-11
brent,1.9999999999999993,29,6.29425048828125e-05,6.661338147750939e-16,3.3306690738754696e-16
bisection,1.999999998177794,25,2.4318695068359375e-05,1.8222059416928005e-09,9.111029708464002e-10
false_position,1.99999999932936,11,1.811981201171875e-05,6.706399879874425e-10,3.3531999399372125e-10
fixed_point,1.9999999970542983,45,1.5974044799804688e-05,2.9457016825773508e-09,1.4728508412886754e-09
newton,2.000000000179528,3,1.9073486328125e-05,1.7952794806319616e-10,8.976397403159808e-11
secant,1.9999999999885394,5,1.33514404296875e-05,1.1460610238600566e-11,5.730305119300283e-12
brent,1.9999999999901863,27,7.367134094238281e-05,9.813705403871609e-12,4.906852701935804e-12
bisection,1.5401827118369402,1,6.67572021484375e-06,0.4598172881630598,0.2299086440815299
false_position,1.9999999999544564,6,1.2636184692382812e-05,4.554356891617317e-11,2.2771784458086586e-11
fixed_point,2.0000000026803577,47,1.6927719116210938e-05,2.6803577135581236e-09,1.3401788567790618e-09
newton,2.000000000000001,4,9.5367431640625e-06,8.881784197001252e-16,4.440892098500626e-16
secant,1.9999999999991882,5,1.239776611328125e-05,8.117950756059145e-13,4.0589753780295723e-13
brent,1.5401827118369402,25,5.841255187988281e-05,0.4598172881630598,0.2299086440815299
bisection,2.017424662289697,1,1.0728836059570312e-05,0.01742466228969697,0.008712331144848484
false_position,1.9999999990648198,11,2.4557113647460938e-05,9.35180155536841e-10,4.675900777684205e-10
fixed_point,2.000000003533342,38,3.910064697265625e-05,3.5333420633776313e-09,1.7666710316888157e-09
newton,2.0000000007259393,2,1.0251998901367188e-05,7.259393086656019e-10,3.6296965433280093e-10
secant,2.0000000012356263,5,1.2874603271484375e-05,1.2356262679702468e-09,6.178131339851234e-10
brent,1.9999999999999962,30,7.62939453125e-05,3.774758283725532e-15,1.887379141862766e-15
bisection,1.9999999999388256,25,3.4809112548828125e-05,6.117439887987075e-11,3.0587199439935375e-11
false_position,1.9999999980652134,8,1.6450881958007812e-05,1.93478655319268e-09,9.6739327659634e-10
bisection,2.6178815404041957,1,2.1219253540039062e-05,0.6178815404041957,0.30894077020209787
false_position,2.0000000012784978,8,1.4781951904296875e-05,1.2784977521107521e-09,6.392488760553761e-10
fixed_point,1.9999999970891926,47,2.9087066650390625e-05,2.910807372913382e-09,1.455403686456691e-09
newton,1.999999999999999,4,1.1444091796875e-05,1.1102230246251565e-15,5.551115123125783e-16
secant,2.0000000000004525,5,1.5497207641601562e-05,4.525269048372138e-13,2.262634524186069e-13
brent,2.441066357001896,27,5.555152893066406e-05,0.4410663570018958,0.2205331785009479
bisection,2.000000001324113,28,2.8371810913085938e-05,1.3241128193897111e-09,6.620564096948556e-10
false_position,1.999999999731103,10,2.2172927856445312e-05,2.688969047426326e-10,1.344484523713163e-10
fixed_point,1.9999999963796442,42,1.7881393432617188e-05,3.620355792932628e-09,1.810177896466314e-09
newton,2.000000000000063,3,1.1444091796875e-05,6.306066779870889e-14,3.1530333899354446e-14
secant,1.9999999999711005,5,1.811981201171875e-05,2.8899549420202675e-11,1.4449774710101337e-11
brent,2.0,29,9.751319885253906e-05,0.0,0.0
bisection,2.41661377959434,1,7.867813110351562e-06,0.4166137795943401,0.20830688979717005
false_position,2.000000001390111,6,1.2159347534179688e-05,1.3901111373115782e-09,6.950555686557891e-10
fixed_point,2.000000003053359,46,2.5510787963867188e-05,3.0533588990522276e-09,1.5266794495261138e-09
newton,1.9999999999999998,4,1.1205673217773438e-05,2.220446049250313e-16,1.1102230246251565e-16
secant,2.0000000004915797,4,1.4781951904296875e-05,4.915796658622185e-10,2.4578983293110923e-10
brent,2.1904544477743704,27,5.650520324707031e-05,0.19045444777437037,0.09522722388718519
bisection,2.1428327251818637,1,2.4318695068359375e-05,0.14283272518186374,0.07141636259093187
false_position,1.9999999998432834,7,1.430511474609375e-05,1.5671663966543292e-10,7.835831983271646e-11
fixed_point,1.999999996278901,43,1.2636184692382812e-05,3.721098984499349e-09,1.8605494922496746e-09
newton,2.0000000000017524,3,1.2874603271484375e-05,1.752376022068347e-12,8.761880110341735e-13
secant,1.9999999999999312,4,1.71661376953125e-05,6.88338275267597e-14,3.441691376337985e-14
brent,1.999999999346996,28,6.67572021484375e-05,6.530040952412719e-10,3.2650204762063595e-10
bisection,1.935459149433418,27,3.123283386230469e-05,0.0645408505665821,0.03227042528329105
false_position,1.9999999999529527,5,1.3589859008789062e-05,4.7047254980725484e-11,2.3523627490362742e-11
fixed_point,1.9999999960803274,46,1.430511474609375e-05,3.919672586505385e-09,1.9598362932526925e-09
newton,2.0000000000000004,4,3.8623809814453125e-05,4.440892098500626e-16,2.220446049250313e-16
secant,2.0000000000153473,4,1.33514404296875e-05,1.5347279003208314e-11,7.673639501604157e-12
brent,1.9354591551670495,28,5.793571472167969e-05,0.06454084483295053,0.032270422416475264
bisection,1.4114447724984278,21,2.0503997802734375e-05,0.5885552275015722,0.2942776137507861
false_position,1.9999999986170132,6,1.1444091796875e-05,1.3829868361625586e-09,6.914934180812793e-10
fixed_point,2.0000000035751486,47,1.5497207641601562e-05,3.5751486215929162e-09,1.7875743107964581e-09
newton,2.000000000000063,4,1.0967254638671875e-05,6.306066779870889e-14,3.1530333899354446e-14
secant,1.9999999999759857,5,2.0742416381835938e-05,2.401434606724706e-11,1.200717303362353e-11
brent,1.4114447786932474,22,8.034706115722656e-05,0.5885552213067526,0.2942776106533763
bisection,2.6904745656743363,25,5.6743621826171875e-05,0.6904745656743363,0.34523728283716815
false_position,2.0000000002973466,10,1.5497207641601562e-05,2.973465917932572e-10,1.486732958966286e-10
fixed_point,1.9999999972476135,47,1.2874603271484375e-05,2.7523865409051496e-09,1.3761932704525748e-09
newton,2.000000000000002,4,1.4066696166992188e-05,2.220446049250313e-15,1.1102230246251565e-15
secant,2.0000000000011027,5,1.33514404296875e-05,1.1026735080577055e-12,5.513367540288527e-13
brent,2.5803500489732896,26,8.344650268554688e-05,0.5803500489732896,0.2901750244866448
bisection,1.4616964985244623,1,2.4557113647460938e-05,0.5383035014755377,0.26915175073776887
false_position,1.9999999998180076,5,1.5735626220703125e-05,1.8199242113325909e-10,9.099621056662954e-11
fixed_point,2.0000000031930667,47,1.2636184692382812e-05,3.193066699935798e-09,1.596533349967899e-09
newton,2.0000000000000084,4,2.1696090698242188e-05,8.43769498715119e-15,4.218847493575595e-15
secant,1.9999999999994504,5,1.2636184692382812e-05,5.495603971894525e-13,2.7478019859472624e-13
brent,1.4616964985244623,28,5.7220458984375e-05,0.5383035014755377,0.26915175073776887
bisection,2.3399482143407155,23,2.6464462280273438e-05,0.33994821434071554,0.16997410717035777
false_position,2.0000000011422934,7,1.33514404296875e-05,1.1422933710036887e-09,5.711466855018443e-10
fixed_point,1.9999999964979278,45,1.5020370483398438e-05,3.502072187799854e-09,1.751036093899927e-09
newton,2.0000000007152776,3,1.7404556274414062e-05,7.152776149155216e-10,3.576388074577608e-10
secant,2.000000000819184,4,1.1682510375976562e-05,8.191838318793998e-10,4.095919159396999e-10
brent,2.3124317039683646,24,5.316734313964844e-05,0.3124317039683646,0.1562158519841823
bisection,2.1106740425374397,1,1.239776611328125e-05,0.11067404253743973,0.055337021268719866
false_position,1.9999999995948483,8,2.2172927856445312e-05,4.0515168997501405e-10,2.0257584498750703e-10
fixed_point,1.9999999970985611,43,1.4781951904296875e-05,2.901438866942385e-09,1.4507194334711926e-09
newton,2.00000000000024,3,1.52587890625e-05,2.398081733190338e-13,1.199040866595169e-13
secant,1.999999999494955,4,1.7404556274414062e-05,5.050448947940822e-10,2.525224473970411e-10
brent,2.0,26,0.00010371208190917969,0.0,0.0
bisection,2.536967891378718,1,1.9073486328125e-05,0.5369678913787181,0.26848394568935907
false_position,2.0000000000770206,7,2.6702880859375e-05,7.702061211034561e-11,3.8510306055172805e-11
fixed_point,2.0000000038498906,46,1.9311904907226562e-05,3.849890628515595e-09,1.9249453142577977e-09
newton,2.0,4,1.621246337890625e-05,0.0,0.0
secant,2.000000001229977,4,1.5735626220703125e-05,1.2299770091317441e-09,6.149885045658721e-10
brent,2.194441216674193,28,8.392333984375e-05,0.19444121667419312,0.09722060833709656
bisection,2.0000000002118257,25,4.982948303222656e-05,2.1182566811717152e-10,1.0591283405858576e-10
false_position,1.9999999995773803,10,1.621246337890625e-05,4.2261971699986134e-10,2.1130985849993067e-10
fixed_point,2.0000000039103853,41,1.8835067749023438e-05,3.910385348859791e-09,1.9551926744298953e-09
newton,2.0000000000000027,3,1.1205673217773438e-05,2.6645352591003757e-15,1.3322676295501878e-15
secant,1.999999999962155,5,1.2636184692382812e-05,3.784506041881741e-11,1.8922530209408706e-11
brent,1.9999999975206264,30,7.82012939453125e-05,2.4793735953210216e-09,1.2396867976605108e-09
bisection,1.4719183582361075,1,2.47955322265625e-05,0.5280816417638925,0.26404082088194625
false_position,1.999999999739717,6,1.5020370483398438e-05,2.6028290633917095e-10,1.3014145316958547e-10
fixed_point,2.000000003125274,47,1.5497207641601562e-05,3.125273817516927e-09,1.5626369087584635e-09
newton,2.0000000000000084,4,2.6702880859375e-05,8.43769498715119e-15,4.218847493575595e-15
secant,1.9999999999942357,5,1.3828277587890625e-05,5.764277943853813e-12,2.8821389719269064e-12
brent,1.4719183582361075,25,5.459785461425781e-05,0.5280816417638925,0.26404082088194625
bisection,1.9909845654435117,21,2.765655517578125e-05,0.009015434556488344,0.004507717278244172
false_position,1.9999999999978968,3,1.1205673217773438e-05,2.1032064978498966e-12,1.0516032489249483e-12
fixed_point,1.999999996513994,38,1.4066696166992188e-05,3.4860059283658984e-09,1.7430029641829492e-09
newton,2.0000000006879244,2,3.528594970703125e-05,6.879243841240168e-10,3.439621920620084e-10
secant,1.999999999999248,3,1.0728836059570312e-05,7.52065076881081e-13,3.760325384405405e-13
brent,1.9909845731278368,22,4.744529724121094e-05,0.009015426872163168,0.004507713436081584
bisection,1.9999999984544035,26,4.839897155761719e-05,1.5455965396427018e-09,7.727982698213509e-10
false_position,1.9999999996263456,9,2.3126602172851562e-05,3.7365444072179343e-10,1.8682722036089672e-10
fixed_point,2.0000000028687057,46,1.71661376953125e-05,2.868705717418152e-09,1.434352858709076e-09
newton,2.0,4,2.8848648071289062e-05,0.0,0.0
secant,1.9999999999821703,4,1.1682510375976562e-05,1.7829737686270164e-11,8.914868843135082e-12
brent,1.9999999984544035,28,5.936622619628906e-05,1.5455965396427018e-09,7.727982698213509e-10
bisection,1.6795949242610813,1,3.361701965332031e-05,0.32040507573891874,0.16020253786945937
false_position,1.9999999999070317,5,1.6689300537109375e-05,9.296829972527121e-11,4.6484149862635604e-11
fixed_point,1.9999999972819138,46,2.1457672119140625e-05,2.7180862005593553e-09,1.3590431002796777e-09
newton,2.0,4,2.8133392333984375e-05,0.0,0.0
secant,1.9999999999999947,5,1.8358230590820312e-05,5.329070518200751e-15,2.6645352591003757e-15
brent,1.6795949242610813,25,0.00010132789611816406,0.32040507573891874,0.16020253786945937
bisection,2.0000000008721397,26,5.0067901611328125e-05,8.721396937971804e-10,4.360698468985902e-10
false_position,1.9999999993837525,11,1.9550323486328125e-05,6.16247497475797e-10,3.081237487378985e-10
fixed_point,2.0000000033151633,40,1.8835067749023438e-05,3.315163255024345e-09,1.6575816275121724e-09
newton,2.0,3,1.5020370483398438e-05,0.0,0.0
secant,1.9999999997655067,5,1.2874603271484375e-05,2.3449331365554826e-10,1.1724665682777413e-10
brent,1.9999999999999936,29,8.606910705566406e-05,6.439293542825908e-15,3.219646771412954e-15
bisection,2.8245294788027318,27,4.649162292480469e-05,0.8245294788027318,0.4122647394013659
false_position,2.000000000380449,10,1.9550323486328125e-05,3.804490056324994e-10,1.902245028162497e-10
fixed_point,2.000000003427869,46,1.71661376953125e-05,3.427869099681402e-09,1.713934549840701e-09
newton,2.0,4,1.4066696166992188e-05,0.0,0.0
secant,2.0000000000000058,5,1.2874603271484375e-05,5.773159728050814e-15,2.886579864025407e-15
brent,2.4725429727164157,28,9.799003601074219e-05,0.47254297271641565,0.23627148635820783
bisection,2.476106981315505,1,2.3365020751953125e-05,0.476106981315505,0.2380534906577525
false_position,2.000000000064934,6,1.7404556274414062e-05,6.493383608585646e-11,3.246691804292823e-11
fixed_point,2.000000003451475,46,1.621246337890625e-05,3.451475105720192e-09,1.725737552860096e-09
newton,2.0,4,1.7642974853515625e-05,0.0,0.0
secant,2.0000000000640004,4,1.2159347534179688e-05,6.400036056675162e-11,3.200018028337581e-11
brent,2.108118141463079,28,9.107589721679688e-05,0.10811814146307919,0.054059070731539594
